timestamp,iface,can_id,dlc,data,priority,pdu_format,pdu_specific,pdu_type,pgn,pgn_label,destination,source,label,rule_name,rule_type,semantics,rule_severity,rule_layer,rule_description,context_pgn,context_value
0.191133,can0,418385408,8,983AFFFFD59FFFFF,6,240,14,PDU2,61454,Aftertreatment 1 Intake Gas 1,,0,normal,,,,,,,,
0.192224,can0,419348235,8,10157E7C7E7EFFFF,6,254,191,PDU2,65215,Wheel Speed Information,,11,normal,,,,,,,,
0.195038,can0,418394880,8,FFFFFFFFFFFFFFFF,6,240,51,PDU2,61491,Aftertreatment 1 SCR Ammonia Information 2,,0,normal,,,,,,,,
0.195643,can0,419356416,8,8AA0287D7DFFFFF5,6,254,223,PDU2,65247,Electronic Engine Controller 3,,0,normal,,,,,,,,
0.199614,can0,217055747,8,C14F12FFF7312103,3,240,2,PDU2,61442,Electronic Transmission Controller 1,,3,normal,,,,,,,,
0.20038,can0,419362560,8,FFFFFFFF1701FFFF,6,254,247,PDU2,65271,Vehicle Electrical Power 1,,0,normal,,,,,,,,
0.200897,can0,419356672,8,0F00000024963500,6,254,224,PDU2,65248,Vehicle Distance,,0,normal,,,,,,,,
0.201474,can0,217056000,8,D06827FFFF0F7C82,3,240,3,PDU2,61443,Electronic Engine Controller 2,,0,normal,,,,,,,,
0.204923,can0,419361280,8,D800D703A905E1FF,6,254,242,PDU2,65266,Fuel Economy (Liquid),,0,normal,,,,,,,,
0.205531,can0,418385664,8,920FFFFFD59FFFFF,6,240,15,PDU2,61455,Aftertreatment 1 Outlet Gas 1,,0,normal,,,,,,,,
0.207158,can0,217056256,8,719D9CB42E000F9D,3,240,4,PDU2,61444,Electronic Engine Controller 1,,0,normal,,,,,,,,
0.208909,can0,217055747,8,C14F12FFF7312103,3,240,2,PDU2,61442,Electronic Transmission Controller 1,,3,normal,,,,,,,,
0.209357,can0,217058307,8,B704CF2EFFFFFFFF,3,240,12,PDU2,61452,Electronic Transmission Controller #8,,3,normal,,,,,,,,
0.214942,can0,419356416,8,8AA0287D7DFFFFF5,6,254,223,PDU2,65247,Electronic Engine Controller 3,,0,normal,,,,,,,,
0.215521,can0,285015296,8,FFFFFFFFE075FFFF,4,252,253,PDU2,64765,Electronic Engine Controller 9,,0,normal,,,,,,,,
0.218775,can0,217055747,8,C14A12FFF72F2103,3,240,2,PDU2,61442,Electronic Transmission Controller 1,,3,normal,,,,,,,,
0.220668,can0,419348736,8,9BA93B0585010000,6,254,193,PDU2,65217,High Resolution Vehicle Distance,,0,normal,,,,,,,,
0.220905,can0,217056000,8,D06827FFFF0F7C82,3,240,3,PDU2,61443,Electronic Engine Controller 2,,0,normal,,,,,,,,
0.223524,can0,217056049,8,FFFFFFFFFFFFFFFF,3,240,3,PDU2,61443,Electronic Engine Controller 2,,49,normal,,,,,,,,
0.224994,can0,418382080,8,FFFFFFFFFFFFFFFF,6,240,1,PDU2,61441,Electronic Brake Controller 1,,0,normal,,,,,,,,
0.227004,can0,217056256,8,619D9CA22E000F9D,3,240,4,PDU2,61444,Electronic Engine Controller 1,,0,normal,,,,,,,,
0.228848,can0,217055747,8,C14A12FFF72F2103,3,240,2,PDU2,61442,Electronic Transmission Controller 1,,3,normal,,,,,,,,
0.22938,can0,201392901,8,FFFFFFFFFFF3FFFF,3,1,3,PDU1,256,Transmission Control 1,3.0,5,normal,,,,,,,,
0.229968,can0,217058307,8,B504B82EFFFFFFFF,3,240,12,PDU2,61452,Electronic Transmission Controller #8,,3,normal,,,,,,,,
0.235008,can0,419356416,8,8AA0287D7DFFFFF5,6,254,223,PDU2,65247,Electronic Engine Controller 3,,0,normal,,,,,,,,
0.239427,can0,217055747,8,C16A12FFF7562103,3,240,2,PDU2,61442,Electronic Transmission Controller 1,,3,normal,,,,,,,,
0.240835,can0,217056000,8,D06827FFFF0F7B82,3,240,3,PDU2,61443,Electronic Engine Controller 2,,0,normal,,,,,,,,
0.240891,can0,217057792,8,0D05FF16FFFFFFFF,3,240,10,PDU2,61450,Engine Gas Flow Rate,,0,normal,,,,,,,,
